,Player Name,Team,Position,w,k,sv,era,whip,score
510,Chris Martin,NYY,RP,2,29,0,4.33,1.37,1657
587,Eric Surkamp,CWS,RP,2,38,0,4.75,1.37,1657
765,Tommy Hanson,TEX,SP,3,60,0,5.79,1.61,1653
610,Josh Lindblom,PIT,SP,2,36,0,4.41,1.4,1650
731,Matt Magill,CIN,"SP,RP",3,53,0,5.01,1.65,1647
728,Justin Germano,TEX,RP,3,38,0,5.44,1.41,1645
759,Joely Rodriguez,PHI,SP,4,45,0,5.4,1.56,1644
547,Scott Downs,KC,RP,2,24,1,3.94,1.48,1641
689,Sean O'Sullivan,PHI,"P,SP,RP",3,39,0,4.91,1.46,1637
620,Michael Foltynewicz,ATL,RP,2,46,0,4.54,1.46,1632
548,Sergio Santos,TOR,RP,1,20,0,3.94,1.33,1632
740,Mike Pelfrey,MIN,SP,3,44,0,4.96,1.52,1628
658,Andre Rienzo,MIA,"SP,RP",3,41,0,4.87,1.5,1622
618,Brian Flynn,KC,"P,SP,RP",3,34,0,4.5,1.5,1620
756,Aaron Laffey,BAL,"SP,RP",4,41,0,5.32,1.53,1619
564,Keith Butler,STL,RP,1,16,0,3.88,1.33,1617
589,Yoslan Herrera,LAA,"RP,SP",3,30,0,4.26,1.53,1614
552,Manuel Banuelos,ATL,"RP,SP",1,20,0,3.98,1.33,1614
544,Ryan Dennick,CIN,RP,1,23,0,3.98,1.34,1613
525,Alex Wilson,DET,RP,2,20,0,4.0,1.4,1612
521,Dane De La Rosa,LAA,RP,2,21,1,4.25,1.39,1610
601,Andy Oliver,PHI,SP,2,42,0,4.25,1.52,1608
577,David Rollins,SEA,RP,2,35,0,4.44,1.41,1604
549,Preston Guilmet,TOR,RP,1,24,0,4.54,1.25,1602
531,Gonzalez Germen,CHC,RP,2,33,0,4.33,1.42,1594
584,Heath Bell,TB,RP,2,36,1,4.62,1.44,1594
574,Mario Hollands,PHI,RP,2,34,0,4.37,1.42,1592
546,Ryan Mattheus,WSH,RP,2,22,0,4.11,1.4,1587
579,Andrew Chafin,ARI,"SP,RP",2,34,0,4.29,1.44,1586
559,Pedro Villarreal,CIN,RP,2,24,0,4.51,1.35,1586
553,Kevin Gregg,CIN,RP,2,33,0,4.32,1.43,1582
550,Michael Kohn,LAA,RP,1,38,0,4.02,1.44,1574
551,Fernando Rodriguez,OAK,RP,1,21,0,3.87,1.36,1573
631,John Gast,FA,SP,3,28,0,4.67,1.44,1570
635,Kevin Slowey,MIA,RP,2,39,0,4.78,1.42,1556
541,Jorge Rondon,COL,RP,2,20,0,4.21,1.38,1555
600,Nick Masset,COL,RP,2,33,0,4.12,1.53,1545
563,Alfredo Figaro,MIL,RP,2,23,0,4.49,1.36,1541
565,Matt Daley,NYY,RP,1,24,0,4.66,1.26,1536
744,Scott Carroll,CWS,"SP,RP",3,37,0,5.04,1.51,1536
613,Patrick McCoy,BAL,RP,1,6,0,3.6,1.4,1531
667,Kameron Loe,SF,"SP,RP",3,30,1,5.15,1.49,1528
582,Matt Stites,ARI,RP,1,33,0,4.45,1.35,1528
688,Aaron Brooks,KC,"P,SP,RP",3,27,0,5.27,1.41,1518
567,Curtis Partch,CIN,RP,2,28,0,4.14,1.48,1516
557,Tayron Guerrero,SD,RP,2,27,0,4.14,1.48,1502
571,Jose Cisnero,HOU,RP,1,19,0,4.06,1.35,1500
711,Paul Clemens,HOU,RP,3,36,0,5.31,1.5,1499
560,Jose Dominguez,TB,RP,1,21,0,3.7,1.43,1498
625,Angel Nesbitt,DET,RP,2,36,0,4.62,1.45,1490
583,Seth Rosin,TEX,RP,2,24,0,4.58,1.38,1485
569,Matt West,TOR,RP,2,25,0,4.58,1.39,1478
593,Kevin Chapman,HOU,RP,2,29,0,4.13,1.55,1477
621,Buck Farmer,DET,"P,SP,RP",2,33,0,4.85,1.41,1475
609,Stephen Fife,LAD,"SP,RP",2,29,0,4.38,1.45,1470
727,Bruce Billings,NYY,RP,3,34,0,5.35,1.5,1459
595,Sam Tuivailala,STL,RP,1,13,0,3.74,1.41,1458
713,Donn Roach,CHC,"RP,SP",3,30,0,4.78,1.55,1455
592,Neil Wagner,TOR,RP,1,17,0,3.97,1.38,1455
591,Hector Neris,PHI,RP,2,28,0,4.63,1.41,1450
614,Chad Bettis,COL,RP,2,31,0,4.69,1.43,1442
580,Rob Rasmussen,TOR,RP,1,23,0,4.01,1.4,1442
745,Chris Rusin,COL,RP,3,33,0,5.37,1.5,1441
578,Heath Hembree,BOS,RP,1,32,0,4.22,1.41,1440
668,Randy Wolf,MIA,"SP,RP",2,36,0,4.87,1.45,1434
598,Eric Fornataro,WSH,RP,2,17,0,4.19,1.43,1433
